Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:42:09:36.446,61,0.1007554755,0.1881192774,0.1208629906,0.0000000000,0.0000000000,0.0580004714,0.0000000000,0.1007442027,0.1885020137,0.0065018097,0.0000000000,0.0000000000,0.0579897650,0.0000000000,0.0109543707,0.0017288158,0.0000000000,0.0149791520,0.0150235826,0.0101259137,0.0720804632,0.0087304432,0.0000000000,0.0000000000,0.0000000000,0.0379002765,0.0218065977,0.0231955573,0.0227433760,0.0285334922,0.0275772121,0.0347598009,0.0103667742,0.2380473316,0.1737911403,0.0606501997,0.0644887462,0.0208649784,0.0201908294,0.0187804792,0.0198477171,0.3595232069,0.3594390452,0.0149114821,0.0000000000,0.0000000000,0.0183252674,0.0288179684,0.0301083419,0.0690421686,0.0740528479,0.0000000281,0.0000000000,0.0000000000,0.0000000000,-0.0039454270,0.1151502356,-0.0004563344,0.0733431727,0.1152267009,0.0084808804
00:42:09:37.448,61,0.1008053645,0.1886639446,0.1202199906,0.0000000000,0.0000000000,0.0578944720,0.0000000000,0.1007941961,0.1890424043,0.0071311668,0.0000000000,0.0000000000,0.0578840747,0.0000000000,0.0110144345,0.0017812721,0.0000000000,0.0150023447,0.0150449080,0.0101913270,0.0723013356,0.0086074471,0.0000000000,0.0000000000,0.0000000000,0.0396647044,0.0231577009,0.0231269039,0.0226834454,0.0285576228,0.0276130550,0.0348368213,0.0103783114,0.2385836542,0.1740815639,0.0608686768,0.0647222996,0.0208810680,0.0202103052,0.0188227464,0.0198900606,0.3676246703,0.3675540686,0.0148051688,0.0000000000,0.0000000000,0.0184400361,0.0288783815,0.0301808659,0.0693867803,0.0743848383,0.0000000257,0.0000000000,0.0000000000,0.0000000000,-0.0043271687,0.1154805198,-0.0005019353,0.0729501769,0.1155569702,0.0084599154
00:42:09:38.449,61,0.1008254588,0.1891962141,0.1195067838,0.0000000000,0.0000000000,0.0577097498,0.0000000000,0.1008144096,0.1895696074,0.0078408988,0.0000000000,0.0000000000,0.0576996729,0.0000000000,0.0110860923,0.0018362204,0.0000000000,0.0150183989,0.0150518781,0.0102471281,0.0725198835,0.0085313572,0.0000000000,0.0000000000,0.0000000000,0.0414910354,0.0249215588,0.0230987053,0.0226607490,0.0285735112,0.0276372470,0.0349458233,0.0103962682,0.2397479266,0.1746118367,0.0611762479,0.0650512129,0.0208898932,0.0202223007,0.0188693907,0.0199370123,0.3711048365,0.3710401952,0.0147030484,0.0000000000,0.0000000000,0.0185630005,0.0289051309,0.0302163288,0.0696875155,0.0746775195,0.0000000191,0.0000000000,0.0000000000,0.0000000000,-0.0047576535,0.1158028170,-0.0005534235,0.0725146756,0.1158792898,0.0084331688
00:42:09:39.451,61,0.1006583050,0.1895068586,0.1188750044,0.0000000000,0.0000000000,0.0573514663,0.0000000000,0.1006472930,0.1898753494,0.0085000405,0.0000000000,0.0000000000,0.0573417097,0.0000000000,0.0111549096,0.0018715146,0.0000000000,0.0150326276,0.0150619000,0.0102822892,0.0726103559,0.0085691614,0.0000000000,0.0000000000,0.0000000000,0.0422167443,0.0257328581,0.0230737627,0.0226382110,0.0285747256,0.0276405253,0.0350465737,0.0104166660,0.2402174175,0.1748303324,0.0613872036,0.0652843118,0.0209167060,0.0202474594,0.0189080574,0.0199697949,0.3723591864,0.3722955287,0.0146074509,0.0000000000,0.0000000000,0.0186576825,0.0288924463,0.0302016512,0.0699561015,0.0749177858,0.0000000181,0.0000000000,0.0000000000,0.0000000000,-0.0051574898,0.1159897894,-0.0006009109,0.0721297339,0.1160663217,0.0084021427
00:42:09:40.452,61,0.1005515456,0.1902863830,0.1179953367,0.0000000000,0.0000000000,0.0569952428,0.0000000000,0.1005408168,0.1906488538,0.0094030751,0.0000000000,0.0000000000,0.0569857024,0.0000000000,0.0111954203,0.0019272842,0.0000000000,0.0150252478,0.0150513640,0.0102766622,0.0724725500,0.0086807674,0.0000000000,0.0000000000,0.0000000000,0.0422787517,0.0258610863,0.0230465252,0.0226081647,0.0285587348,0.0276096836,0.0350784101,0.0104267439,0.2402619869,0.1747782826,0.0614489503,0.0653663278,0.0209324602,0.0202569887,0.0189104993,0.0199673288,0.3722097278,0.3721377254,0.0145160146,0.0000000000,0.0000000000,0.0186859854,0.0288478676,0.0301599149,0.0701173246,0.0750563070,0.0000000164,0.0000000000,0.0000000000,0.0000000000,-0.0057051028,0.1164626703,-0.0006674482,0.0715920180,0.1165392324,0.0083739022
00:42:09:41.454,61,0.1005327851,0.1908969432,0.1171600670,0.0000000000,0.0000000000,0.0566675514,0.0000000000,0.1005223915,0.1912533045,0.0102757988,0.0000000000,0.0000000000,0.0566581674,0.0000000000,0.0112247411,0.0020246890,0.0000000000,0.0150042428,0.0150363240,0.0102560548,0.0722337812,0.0087702088,0.0000000000,0.0000000000,0.0000000000,0.0423527285,0.0259176120,0.0229930133,0.0225531366,0.0285437144,0.0275731236,0.0350752324,0.0104239769,0.2400679588,0.1745903343,0.0614049286,0.0653373823,0.0209338367,0.0202552956,0.0189035088,0.0199555252,0.3702606857,0.3701737523,0.0144437468,0.0000000000,0.0000000000,0.0186876804,0.0288081393,0.0301240031,0.0702417344,0.0751661733,0.0000000128,0.0000000000,0.0000000000,0.0000000000,-0.0062343385,0.1168322861,-0.0007316994,0.0710821301,0.1169088706,0.0083409790
00:42:09:42.456,61,0.1003609300,0.1911391169,0.1164231226,0.0000000000,0.0000000000,0.0564596280,0.0000000000,0.1003508642,0.1914893240,0.0110516604,0.0000000000,0.0000000000,0.0564503409,0.0000000000,0.0112502556,0.0021605520,0.0000000000,0.0149795040,0.0150139537,0.0102317231,0.0720533207,0.0088053737,0.0000000000,0.0000000000,0.0000000000,0.0427100174,0.0262045600,0.0229231343,0.0224819928,0.0285364240,0.0275447425,0.0350624584,0.0104057919,0.2401704639,0.1747009754,0.0613649674,0.0653069317,0.0208882410,0.0202104636,0.0189011302,0.0199509282,0.3695762753,0.3694842458,0.0143749584,0.0000000000,0.0000000000,0.0186780412,0.0288123768,0.0301371794,0.0703758821,0.0752698407,0.0000000149,0.0000000000,0.0000000000,0.0000000000,-0.0067049400,0.1169768125,-0.0007879136,0.0706337988,0.1170534790,0.0082988050
00:42:09:43.457,61,0.1002128050,0.1917033046,0.1150209829,0.0000000000,0.0000000000,0.0562501699,0.0000000000,0.1002028212,0.1920420676,0.0124956947,0.0000000000,0.0000000000,0.0562409535,0.0000000000,0.0112548694,0.0023073608,0.0000000000,0.0149454512,0.0149902711,0.0102002770,0.0717976093,0.0088844979,0.0000000000,0.0000000000,0.0000000000,0.0428851619,0.0263313856,0.0228406414,0.0223965216,0.0285284147,0.0275110304,0.0350153372,0.0103779463,0.2400932759,0.1746814102,0.0612523817,0.0652033761,0.0208419412,0.0201656353,0.0189005863,0.0199451987,0.3687694967,0.3686736822,0.0143196899,0.0000000000,0.0000000000,0.0186474323,0.0288158078,0.0301499180,0.0704949200,0.0753424242,0.0000000138,0.0000000000,0.0000000000,0.0000000000,-0.0075807218,0.1173152402,-0.0008934278,0.0697803125,0.1173919067,0.0082226200
00:42:09:44.459,61,0.1001572385,0.1921041608,0.1135297492,0.0000000000,0.0000000000,0.0560459569,0.0000000000,0.1001474559,0.1924302727,0.0139986435,0.0000000000,0.0000000000,0.0560368411,0.0000000000,0.0112600578,0.0024378682,0.0000000000,0.0149242850,0.0149781993,0.0101930909,0.0716440529,0.0089388927,0.0000000000,0.0000000000,0.0000000000,0.0430178940,0.0264586564,0.0227870941,0.0223370027,0.0285510290,0.0275091529,0.0349800661,0.0103556216,0.2400504053,0.1746601611,0.0611913949,0.0651486814,0.0208061673,0.0201332327,0.0188986883,0.0199358203,0.3674024045,0.3673043251,0.0142871458,0.0000000000,0.0000000000,0.0186506733,0.0288270656,0.0301707294,0.0706299245,0.0754160956,0.0000000178,0.0000000000,0.0000000000,0.0000000000,-0.0084922723,0.1175532416,-0.0010029057,0.0688736588,0.1176299304,0.0081325667
00:42:09:45.461,61,0.1000646800,0.1923331916,0.1120126396,0.0000000000,0.0000000000,0.0558109544,0.0000000000,0.1000551134,0.1926459521,0.0155562060,0.0000000000,0.0000000000,0.0558019578,0.0000000000,0.0112614753,0.0025563159,0.0000000000,0.0149123017,0.0149779925,0.0101935919,0.0715572610,0.0089925108,0.0000000000,0.0000000000,0.0000000000,0.0428849310,0.0263477918,0.0227442943,0.0222876370,0.0285856333,0.0275228452,0.0349567011,0.0103328880,0.2400812060,0.1746633798,0.0611353926,0.0651034042,0.0207876414,0.0201200098,0.0189149138,0.0199431758,0.3662766814,0.3661773801,0.0142682735,0.0000000000,0.0000000000,0.0186585598,0.0288403369,0.0301932506,0.0707939416,0.0755046979,0.0000000230,0.0000000000,0.0000000000,0.0000000000,-0.0094370181,0.1176859811,-0.0011157437,0.0679521933,0.1177627072,0.0080330744
