Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:42:14:01.869,61,0.1112435758,0.1794724017,0.1132615507,0.0000000000,0.0000000000,0.0629319921,0.0000000000,0.1112248674,0.1797685325,0.0139733143,0.0000000000,0.0000000000,0.0629243106,0.0000000000,0.0109416982,0.0008890704,0.0000000000,0.0160465054,0.0164089017,0.0117098233,0.0769545808,0.0071245148,0.0000000000,0.0000000000,0.0008820381,0.0140874926,0.0000000000,0.0252107680,0.0247252323,0.0300027858,0.0290264636,0.0372469388,0.0109364968,0.2478030324,0.1776648462,0.0652012303,0.0692276731,0.0237890184,0.0233300533,0.0206821281,0.0218735598,0.3383402526,0.3382065296,0.0162404999,0.0000000000,0.0000000000,0.0195429809,0.0309731290,0.0325113051,0.0734488517,0.0777155161,0.0000002483,0.0000000000,0.0000000000,0.0000000000,-0.0084843943,0.1098183393,-0.0009354944,0.0687715039,0.1098942757,0.0075820419
00:42:14:02.871,61,0.1102141812,0.1796947271,0.1136288717,0.0000000000,0.0000000000,0.0619295090,0.0000000000,0.1101948246,0.1799944341,0.0136255492,0.0000000000,0.0000000000,0.0619222037,0.0000000000,0.0109624453,0.0007786441,0.0000000000,0.0160502400,0.0164432265,0.0117696617,0.0775577873,0.0071114912,0.0000000000,0.0000000000,0.0002910921,0.0146795874,0.0000000000,0.0251608193,0.0246854611,0.0300390832,0.0290979762,0.0373670943,0.0109305894,0.2479983717,0.1778765917,0.0653986931,0.0694324449,0.0238510277,0.0233914051,0.0208257549,0.0220158156,0.3355995417,0.3354623318,0.0162495505,0.0000000000,0.0000000000,0.0196815375,0.0309052542,0.0324169323,0.0736205727,0.0778710768,0.0000003092,0.0000000000,0.0000000000,0.0000000000,-0.0082731117,0.1099561304,-0.0009133526,0.0689935088,0.1100321040,0.0076160938
00:42:14:03.872,61,0.1096696407,0.1800169647,0.1130703241,0.0000000000,0.0000000000,0.0613098480,0.0000000000,0.1096503437,0.1803126782,0.0141744651,0.0000000000,0.0000000000,0.0613028035,0.0000000000,0.0109798163,0.0007309151,0.0000000000,0.0160747152,0.0164973140,0.0118406285,0.0779996812,0.0071109440,0.0000000000,0.0000000000,0.0000000000,0.0151485559,0.0001689084,0.0250695068,0.0246008560,0.0301121045,0.0291940421,0.0374059901,0.0109208962,0.2477158457,0.1776353866,0.0654110610,0.0694442019,0.0239208490,0.0234552808,0.0209109206,0.0220956560,0.3410051465,0.3409059346,0.0162312053,0.0000000000,0.0000000000,0.0197672043,0.0308993421,0.0324048512,0.0738535076,0.0780851766,0.0000003067,0.0000000000,0.0000000000,0.0000000000,-0.0086062159,0.1101508662,-0.0009518227,0.0686528608,0.1102268323,0.0075920722
00:42:14:04.874,61,0.1097663119,0.1811402291,0.1116946563,0.0000000000,0.0000000000,0.0610009357,0.0000000000,0.1097474545,0.1814266741,0.0155416448,0.0000000000,0.0000000000,0.0609941743,0.0000000000,0.0110231359,0.0007467201,0.0000000000,0.0161196422,0.0165540241,0.0119243823,0.0784116983,0.0071370210,0.0000000000,0.0000000000,0.0000000000,0.0186036974,0.0027459424,0.0249477811,0.0244787876,0.0301877037,0.0292804185,0.0374855101,0.0109149627,0.2476845533,0.1775908321,0.0654337332,0.0694556162,0.0239544846,0.0234787110,0.0209893361,0.0221644733,0.3518106341,0.3517360687,0.0161817148,0.0000000000,0.0000000000,0.0198322088,0.0309647452,0.0324692577,0.0741708949,0.0783657208,0.0000002506,0.0000000000,0.0000000000,0.0000000000,-0.0094356034,0.1108322144,-0.0010500561,0.0678124800,0.1109082252,0.0075460211
00:42:14:05.875,61,0.1100929379,0.1826241165,0.1103025302,0.0000000000,0.0000000000,0.0608241335,0.0000000000,0.1100748628,0.1829019338,0.0168523807,0.0000000000,0.0000000000,0.0608176403,0.0000000000,0.0110775791,0.0007877751,0.0000000000,0.0161785875,0.0166099239,0.0120106228,0.0787233710,0.0071846959,0.0000000000,0.0000000000,0.0000000000,0.0204313044,0.0041142413,0.0248235725,0.0243523158,0.0302595906,0.0293532200,0.0375772677,0.0109163467,0.2477029562,0.1775788814,0.0654587820,0.0694803596,0.0239553265,0.0234647878,0.0210484583,0.0222149342,0.3568331301,0.3567695916,0.0161045808,0.0000000000,0.0000000000,0.0198856406,0.0310358759,0.0325383469,0.0744347721,0.0786093026,0.0000001291,0.0000000000,0.0000000000,0.0000000000,-0.0102303466,0.1117343232,-0.0011478409,0.0669605136,0.1118103564,0.0075124749
00:42:14:06.877,61,0.1105054095,0.1841534674,0.1094731390,0.0000000000,0.0000000000,0.0607178509,0.0000000000,0.1104881465,0.1844275147,0.0175856501,0.0000000000,0.0000000000,0.0607115440,0.0000000000,0.0111360084,0.0008099318,0.0000000000,0.0162462946,0.0166767444,0.0121252909,0.0791177750,0.0071730921,0.0000000000,0.0000000000,0.0000000000,0.0224518236,0.0060396525,0.0246999562,0.0242277980,0.0303755943,0.0294800177,0.0376834609,0.0109112179,0.2479445189,0.1777469516,0.0655292645,0.0695488453,0.0239549633,0.0234508906,0.0211342499,0.0222918782,0.3594200611,0.3593617380,0.0160393547,0.0000000000,0.0000000000,0.0199530926,0.0311502703,0.0326497704,0.0747493505,0.0789033845,0.0000000972,0.0000000000,0.0000000000,0.0000000000,-0.0106743593,0.1126668006,-0.0012077371,0.0664500296,0.1127428263,0.0075179925
00:42:14:07.879,61,0.1105370149,0.1851246059,0.1097864509,0.0000000000,0.0000000000,0.0606222488,0.0000000000,0.1105197594,0.1854035556,0.0171830356,0.0000000000,0.0000000000,0.0606160499,0.0000000000,0.0111913476,0.0008323299,0.0000000000,0.0163207259,0.0167463776,0.0122496523,0.0796666369,0.0071591511,0.0000000000,0.0000000000,0.0000000000,0.0236463156,0.0074037337,0.0245795790,0.0241066925,0.0305180047,0.0296397991,0.0378186144,0.0108928578,0.2499887049,0.1787492484,0.0656744838,0.0696894526,0.0239246655,0.0234105699,0.0212664101,0.0224130247,0.3608869612,0.3608299196,0.0159987025,0.0000000000,0.0000000000,0.0200193264,0.0312932767,0.0327711925,0.0750236437,0.0791499466,0.0000001029,0.0000000000,0.0000000000,0.0000000000,-0.0104292687,0.1132628024,-0.0011863032,0.0666357204,0.1133388132,0.0075791618
00:42:14:08.880,61,0.1096736863,0.1858315468,0.1105075330,0.0000000000,0.0000000000,0.0603723265,0.0000000000,0.1096528396,0.1861183941,0.0164040904,0.0000000000,0.0000000000,0.0603661537,0.0000000000,0.0112017272,0.0008059239,0.0000000000,0.0163840856,0.0168139394,0.0123106958,0.0798908770,0.0071206447,0.0000000000,0.0000000000,0.0000000000,0.0241183992,0.0079468675,0.0244396646,0.0239730384,0.0306412317,0.0297879074,0.0378395543,0.0108577646,0.2501631975,0.1787963212,0.0655028298,0.0695009083,0.0239011701,0.0233758651,0.0213337224,0.0224772654,0.3611657917,0.3611078858,0.0159814674,0.0000000000,0.0000000000,0.0200020038,0.0313594975,0.0328190848,0.0750310197,0.0791533664,0.0000001165,0.0000000000,0.0000000000,0.0000000000,-0.0099559929,0.1136989295,-0.0011368697,0.0670700893,0.1137749627,0.0076580998
00:42:14:09.882,61,0.1083157510,0.1874368191,0.1109411940,0.0000000000,0.0000000000,0.0599358119,0.0000000000,0.1082900986,0.1877309233,0.0159243010,0.0000000000,0.0000000000,0.0599296615,0.0000000000,0.0111857457,0.0007374383,0.0000000000,0.0164455064,0.0168881938,0.0123255439,0.0799698979,0.0070113852,0.0000000000,0.0000000000,0.0000000000,0.0240520444,0.0078175664,0.0243042484,0.0238452759,0.0307681691,0.0299436934,0.0377986431,0.0108193867,0.2469279021,0.1774617285,0.0651025847,0.0690778196,0.0239336435,0.0233983882,0.0213684402,0.0225186963,0.3613190651,0.3612604141,0.0159879569,0.0000000000,0.0000000000,0.0199200455,0.0313734785,0.0328232236,0.0750171468,0.0791577920,0.0000001248,0.0000000000,0.0000000000,0.0000000000,-0.0096637085,0.1146836877,-0.0011131364,0.0673256963,0.1147597879,0.0077543631
00:42:14:10.883,61,0.1072372943,0.1885832995,0.1121158376,0.0000000000,0.0000000000,0.0593934171,0.0000000000,0.1072031409,0.1888904124,0.0146893514,0.0000000000,0.0000000000,0.0593872964,0.0000000000,0.0111759007,0.0006558193,0.0000000000,0.0165161304,0.0169672202,0.0123245195,0.0798993483,0.0069955275,0.0000000000,0.0000000000,0.0000000000,0.0236782450,0.0074603939,0.0241841767,0.0237267260,0.0308678150,0.0300607365,0.0377621353,0.0107969679,0.2437224388,0.1755613834,0.0646848977,0.0686383247,0.0239828825,0.0234314576,0.0213798881,0.0225323420,0.3612026274,0.3611417413,0.0159925465,0.0000000000,0.0000000000,0.0198351145,0.0313463211,0.0327756479,0.0749745071,0.0791319683,0.0000001129,0.0000000000,0.0000000000,0.0000000000,-0.0089135449,0.1153911874,-0.0010331201,0.0680330321,0.1154673025,0.0078844409
