Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
15:11:27:20.494,61,0.0674664080,0.1872118860,0.1219366342,0.0000000000,0.0000000000,0.0661941096,0.0000000000,0.0673022643,0.1875705421,0.0031889824,0.0000000000,0.0000000000,0.0661834031,0.0000000000,0.0164885353,0.0059188972,0.0000000000,0.0143838814,0.0136546586,0.0133253802,0.0771065354,0.0076852390,0.0000000000,0.0438926853,0.0541617125,0.0000000000,0.0000000000,0.0572377816,0.0559641495,0.0420630723,0.0408790857,0.0489926450,0.0140553685,0.4016609788,0.2807877660,0.1261220574,0.1362973899,0.0336841159,0.0320863873,0.0291237272,0.0302962586,0.6496552825,0.6496030092,0.0151305208,0.0000000000,0.0000000000,0.0262143388,0.0360868722,0.0373392515,0.1423074454,0.1528654993,0.0000001004,0.0000000000,0.0000000000,0.0000000000,-0.0019352650,0.1145805568,-0.0002227191,0.0739994124,0.1146764457,0.0085154027
15:11:27:21.495,61,0.0672780201,0.1871482283,0.1218432561,0.0000000000,0.0000000000,0.0664455816,0.0000000000,0.0671123937,0.1875057369,0.0033727062,0.0000000000,0.0000000000,0.0664344057,0.0000000000,0.0166213010,0.0058791791,0.0000000000,0.0143892830,0.0136547806,0.0133485654,0.0773091391,0.0075392555,0.0000000000,0.0435473137,0.0538663939,0.0000000000,0.0000000000,0.0573637486,0.0561125651,0.0421112739,0.0409393758,0.0492788479,0.0141042052,0.4025093615,0.2813648582,0.1267179698,0.1369251013,0.0338208899,0.0322284698,0.0292850975,0.0304825399,0.6537305117,0.6536780000,0.0151000805,0.0000000000,0.0000000000,0.0263171811,0.0360684209,0.0373094119,0.1436034441,0.1542764157,0.0000001115,0.0000000000,0.0000000000,0.0000000000,-0.0020467690,0.1145409942,-0.0002354694,0.0739430711,0.1146369725,0.0085059768
15:11:27:22.500,61,0.0671514124,0.1870543808,0.1216612458,0.0000000000,0.0000000000,0.0667547286,0.0000000000,0.0669835508,0.1874100417,0.0035958954,0.0000000000,0.0000000000,0.0667432696,0.0000000000,0.0167796090,0.0058892821,0.0000000000,0.0144117111,0.0136647653,0.0134209618,0.0776797384,0.0074668494,0.0000000000,0.0432798639,0.0535914004,0.0000000000,0.0000000000,0.0575824752,0.0563403927,0.0422400013,0.0410654545,0.0496806428,0.0141423279,0.4064454138,0.2843618691,0.1283912808,0.1387849748,0.0339480117,0.0323582925,0.0295126569,0.0307246652,0.6559649706,0.6559120417,0.0151090967,0.0000000000,0.0000000000,0.0265038610,0.0361405276,0.0373695195,0.1445318907,0.1552333534,0.0000000965,0.0000000000,0.0000000000,0.0000000000,-0.0021822290,0.1144825667,-0.0002509241,0.0738331154,0.1145785525,0.0084889848
15:11:27:23.502,61,0.0672781616,0.1871154755,0.1216865405,0.0000000000,0.0000000000,0.0669970959,0.0000000000,0.0671089217,0.1874715090,0.0035674938,0.0000000000,0.0000000000,0.0669855028,0.0000000000,0.0168873891,0.0059445030,0.0000000000,0.0144423116,0.0136899566,0.0135122091,0.0780776069,0.0073923687,0.0000000000,0.0430403873,0.0534409359,0.0000000000,0.0000000000,0.0576980487,0.0564688183,0.0423732437,0.0411927663,0.0499622487,0.0141606601,0.4072082937,0.2850040495,0.1290823072,0.1395287067,0.0340714902,0.0324868783,0.0296589397,0.0308819916,0.6555290222,0.6554734111,0.0151485428,0.0000000000,0.0000000000,0.0266777668,0.0362198465,0.0374405421,0.1447414458,0.1554241031,0.0000000723,0.0000000000,0.0000000000,0.0000000000,-0.0021649834,0.1145201027,-0.0002490235,0.0738481358,0.1146160960,0.0084935166
15:11:27:24.503,61,0.0675277114,0.1867323816,0.1215055063,0.0000000000,0.0000000000,0.0672640577,0.0000000000,0.0673580244,0.1870858669,0.0037181184,0.0000000000,0.0000000000,0.0672524124,0.0000000000,0.0169482157,0.0059981458,0.0000000000,0.0144714611,0.0137182157,0.0135894818,0.0784350559,0.0073796227,0.0000000000,0.0428266674,0.0533157326,0.0000000000,0.0000000000,0.0576603599,0.0564354882,0.0424569547,0.0412587263,0.0501152910,0.0141612748,0.4017584622,0.2833385468,0.1293038130,0.1397652179,0.0341438539,0.0325600915,0.0297268145,0.0309506804,0.6515650749,0.6515087485,0.0151899504,0.0000000000,0.0000000000,0.0268121623,0.0363166332,0.0375270769,0.1441775262,0.1544293612,0.0000000615,0.0000000000,0.0000000000,0.0000000000,-0.0022564530,0.1142845452,-0.0002590061,0.0737402439,0.1143805236,0.0084635466
15:11:27:25.502,61,0.0678289160,0.1871134341,0.1218279749,0.0000000000,0.0000000000,0.0674469769,0.0000000000,0.0676599741,0.1874707788,0.0033728376,0.0000000000,0.0000000000,0.0674353689,0.0000000000,0.0169718340,0.0060711787,0.0000000000,0.0144742886,0.0137255173,0.0136340074,0.0786955133,0.0073753269,0.0000000000,0.0425097458,0.0531582907,0.0000000000,0.0000000000,0.0575454496,0.0563233942,0.0424818881,0.0412610807,0.0501808152,0.0141452486,0.3998654485,0.2826230824,0.1293790042,0.1398526430,0.0341479480,0.0325694047,0.0297649316,0.0309894886,0.6470888853,0.6470351219,0.0152233178,0.0000000000,0.0000000000,0.0268961415,0.0363692828,0.0375827476,0.1434569508,0.1534617692,0.0000000466,0.0000000000,0.0000000000,0.0000000000,-0.0020468533,0.1145196185,-0.0002354349,0.0739339739,0.1146155670,0.0085033318
15:11:27:26.503,61,0.0683185235,0.1877250969,0.1222057715,0.0000000000,0.0000000000,0.0676383376,0.0000000000,0.0681501031,0.1880873889,0.0029700079,0.0000000000,0.0000000000,0.0676268190,0.0000000000,0.0169878807,0.0061588003,0.0000000000,0.0144901769,0.0137410900,0.0136841666,0.0789248943,0.0073992717,0.0000000000,0.0422619022,0.0530533157,0.0000000000,0.0000000000,0.0575258099,0.0563030504,0.0425404049,0.0412942581,0.0502350964,0.0141378082,0.3985637724,0.2819273770,0.1293504834,0.1398237050,0.0341701619,0.0325926580,0.0297848880,0.0310092028,0.6422554851,0.6422032714,0.0152568426,0.0000000000,0.0000000000,0.0269584805,0.0364239253,0.0376403406,0.1428594291,0.1527588218,0.0000000481,0.0000000000,0.0000000000,0.0000000000,-0.0018023127,0.1148962528,-0.0002079949,0.0741600543,0.1149921939,0.0085575581
15:11:27:27.505,61,0.0688428804,0.1880047172,0.1223000064,0.0000000000,0.0000000000,0.0677790940,0.0000000000,0.0686743259,0.1883685738,0.0028579216,0.0000000000,0.0000000000,0.0677676946,0.0000000000,0.0169784985,0.0062497724,0.0000000000,0.0144983800,0.0137460399,0.0137282694,0.0791578740,0.0074370913,0.0000000000,0.0419826657,0.0528802127,0.0000000000,0.0000000000,0.0575227849,0.0562930517,0.0426038541,0.0413322784,0.0502108820,0.0141153308,0.3976154923,0.2813639045,0.1292558461,0.1397112757,0.0341298729,0.0325582437,0.0297596008,0.0309789646,0.6325407624,0.6324843168,0.0152884237,0.0000000000,0.0000000000,0.0269981269,0.0364635028,0.0376867726,0.1419594586,0.1515398324,0.0000000474,0.0000000000,0.0000000000,0.0000000000,-0.0017342602,0.1150680035,-0.0002004432,0.0742157623,0.1151639596,0.0085768793
15:11:27:28.510,61,0.0693830252,0.1875843257,0.1221090034,0.0000000000,0.0000000000,0.0679466128,0.0000000000,0.0692141503,0.1879454702,0.0029945588,0.0000000000,0.0000000000,0.0679353848,0.0000000000,0.0169683937,0.0063226894,0.0000000000,0.0145131387,0.0137483403,0.0137630105,0.0792603642,0.0075740181,0.0000000000,0.0420567691,0.0529592112,0.0000000000,0.0000000000,0.0577196255,0.0564606898,0.0427155606,0.0414057896,0.0502072535,0.0141065083,0.3963639140,0.2806283236,0.1291540712,0.1395940930,0.0341366194,0.0325596593,0.0297196172,0.0309271980,0.6269984245,0.6269432306,0.0153208943,0.0000000000,0.0000000000,0.0270382259,0.0365142934,0.0377422422,0.1409094781,0.1502134949,0.0000000427,0.0000000000,0.0000000000,0.0000000000,-0.0018172296,0.1148095578,-0.0002095567,0.0741020590,0.1149054840,0.0085443733
15:11:27:29.508,61,0.0697124004,0.1873043180,0.1213340834,0.0000000000,0.0000000000,0.0681211799,0.0000000000,0.0695430487,0.1876581013,0.0036989080,0.0000000000,0.0000000000,0.0681102127,0.0000000000,0.0169631131,0.0063644163,0.0000000000,0.0145312296,0.0137492502,0.0137932682,0.0794043168,0.0077589601,0.0000000000,0.0421763808,0.0529695675,0.0000000000,0.0000000000,0.0579354763,0.0566325858,0.0428424440,0.0414968207,0.0502311885,0.0140951779,0.3956858218,0.2801250815,0.1291248351,0.1395428479,0.0341376327,0.0325537249,0.0296939854,0.0308803879,0.6243126392,0.6242578030,0.0153578864,0.0000000000,0.0000000000,0.0271087047,0.0365782566,0.0378108807,0.1399593055,0.1489682794,0.0000000447,0.0000000000,0.0000000000,0.0000000000,-0.0022447046,0.1146341264,-0.0002584526,0.0736332685,0.1147299409,0.0084773349
15:11:27:30.510,61,0.0697814599,0.1868510395,0.1205748171,0.0000000000,0.0000000000,0.0682260320,0.0000000000,0.0696118847,0.1871972382,0.0043523135,0.0000000000,0.0000000000,0.0682153851,0.0000000000,0.0169587266,0.0064121475,0.0000000000,0.0145438863,0.0137467990,0.0138120865,0.0794418976,0.0079459464,0.0000000000,0.0422427431,0.0529061556,0.0000000000,0.0000000000,0.0581085049,0.0567655601,0.0429741144,0.0415900089,0.0502464734,0.0140790762,0.3951390386,0.2796811759,0.1290524155,0.1394495070,0.0341167226,0.0325262435,0.0296713449,0.0308376607,0.6222578883,0.6222049594,0.0153880948,0.0000000000,0.0000000000,0.0271535274,0.0366286635,0.0378688164,0.1392284334,0.1481207609,0.0000000456,0.0000000000,0.0000000000,0.0000000000,-0.0026413132,0.1143526956,-0.0003033644,0.0731748343,0.1144484207,0.0084038004
15:11:27:31.511,61,0.0698361173,0.1863891929,0.1200010255,0.0000000000,0.0000000000,0.0682935715,0.0000000000,0.0696665421,0.1867293566,0.0048653195,0.0000000000,0.0000000000,0.0682832301,0.0000000000,0.0169356763,0.0064269686,0.0000000000,0.0145548666,0.0137461098,0.0138239926,0.0795164034,0.0081285080,0.0000000000,0.0423470326,0.0528364182,0.0000000000,0.0000000000,0.0582123213,0.0568325184,0.0430731885,0.0416569300,0.0502096377,0.0140520204,0.3944485784,0.2791170478,0.1288634092,0.1392271221,0.0340632014,0.0324706472,0.0296206456,0.0307636950,0.6194995642,0.6194487214,0.0154154152,0.0000000000,0.0000000000,0.0271759667,0.0366811715,0.0379294083,0.1378687173,0.1464069635,0.0000000459,0.0000000000,0.0000000000,0.0000000000,-0.0029527403,0.1140669733,-0.0003382781,0.0728289708,0.1141626313,0.0083430838
15:11:27:32.516,61,0.0697810650,0.1859836578,0.1197540388,0.0000000000,0.0000000000,0.0683227777,0.0000000000,0.0696114972,0.1863207370,0.0050624483,0.0000000000,0.0000000000,0.0683126748,0.0000000000,0.0169124603,0.0064479988,0.0000000000,0.0145561928,0.0137351220,0.0138194878,0.0794613957,0.0082354760,0.0000000000,0.0422593243,0.0526770353,0.0000000000,0.0000000000,0.0582815520,0.0568677373,0.0431518368,0.0417106673,0.0501525439,0.0140339052,0.3937196136,0.2785199881,0.1286159754,0.1389480531,0.0340029597,0.0324094966,0.0295549855,0.0306831133,0.6169160604,0.6168658137,0.0154253300,0.0000000000,0.0000000000,0.0271700285,0.0366996229,0.0379547626,0.1370920539,0.1455288529,0.0000000539,0.0000000000,0.0000000000,0.0000000000,-0.0030724651,0.1138174087,-0.0003512174,0.0726811439,0.1139129996,0.0083078155
15:11:27:33.517,61,0.0695334524,0.1854056120,0.1193787083,0.0000000000,0.0000000000,0.0682184473,0.0000000000,0.0693648905,0.1857380122,0.0054190848,0.0000000000,0.0000000000,0.0682085678,0.0000000000,0.0168734137,0.0064837560,0.0000000000,0.0145493355,0.0137195894,0.0138157774,0.0794343725,0.0082445517,0.0000000000,0.0418778993,0.0523390099,0.0000000000,0.0000000000,0.0582382381,0.0568059534,0.0431992225,0.0417411998,0.0500312224,0.0140101621,0.3929898143,0.2779484689,0.1283107400,0.1386148185,0.0338983797,0.0323124528,0.0294576697,0.0305807143,0.6127833724,0.6127337217,0.0154213374,0.0000000000,0.0000000000,0.0271531139,0.0366745293,0.0379453748,0.1364836544,0.1448810995,0.0000000673,0.0000000000,0.0000000000,0.0000000000,-0.0032890458,0.1134615317,-0.0003747891,0.0724562779,0.1135570854,0.0082560573
15:11:27:34.516,61,0.0690754279,0.1841472685,0.1190957054,0.0000000000,0.0000000000,0.0679531842,0.0000000000,0.0689072385,0.1844741404,0.0056961630,0.0000000000,0.0000000000,0.0679435357,0.0000000000,0.0168074630,0.0065631461,0.0000000000,0.0145346215,0.0136978934,0.0137801766,0.0793160349,0.0083440281,0.0000000000,0.0415076911,0.0520088337,0.0000000000,0.0000000000,0.0581139959,0.0566545427,0.0432064645,0.0417128392,0.0498318635,0.0139787225,0.3874123693,0.2748304904,0.1277403831,0.1380226761,0.0337658226,0.0321758464,0.0293038227,0.0304175559,0.6064887643,0.6064344645,0.0154041881,0.0000000000,0.0000000000,0.0270869732,0.0365843140,0.0378700159,0.1355700344,0.1440087855,0.0000000694,0.0000000000,0.0000000000,0.0000000000,-0.0034575185,0.1126895249,-0.0003912830,0.0722908229,0.1127850115,0.0081807561
15:11:27:35.521,61,0.0684720427,0.1827115566,0.1189866215,0.0000000000,0.0000000000,0.0675245821,0.0000000000,0.0683042631,0.1830338985,0.0058202883,0.0000000000,0.0000000000,0.0675151199,0.0000000000,0.0167220607,0.0066113048,0.0000000000,0.0145235350,0.0136856958,0.0137306917,0.0790912956,0.0084529147,0.0000000000,0.0410196185,0.0515409745,0.0000000000,0.0000000000,0.0578174926,0.0563357957,0.0431651436,0.0416391455,0.0495331176,0.0139493085,0.3703822494,0.2631615996,0.1246991158,0.1344612241,0.0336359330,0.0320366547,0.0290885847,0.0301912986,0.5959700942,0.5959042311,0.0153863654,0.0000000000,0.0000000000,0.0269623399,0.0364498198,0.0377420485,0.1344094723,0.1428396702,0.0000000691,0.0000000000,0.0000000000,0.0000000000,-0.0035332118,0.1118097380,-0.0003967011,0.0722317621,0.1119051725,0.0081097828
